,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
40,Shark Attack,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,238626,26,0.449,0.000264,0.449,0.635,4.65e-05,0.332,-7.557,0.0397,166.04,4
41,Sit Still,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,244813,11,0.648,0.0424,0.648,0.851,1.15e-05,0.24,-6.695,0.0354,92.937,4
42,Hippy Hill,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,175986,17,0.524,0.104,0.524,0.556,1.03e-06,0.131,-9.537,0.0392,133.822,4
43,What I Know,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,234520,11,0.498,0.00193,0.498,0.777,0.0,0.254,-6.904,0.0424,89.967,4
44,Didn't Have to Go,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,224680,11,0.472,0.0387,0.472,0.861,2.09e-05,0.126,-6.61,0.0648,79.941,4
45,Bitin' the Bullet,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,248706,9,0.566,0.0335,0.566,0.742,0.00581,0.362,-6.255,0.0333,81.996,4
46,News to Me,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,226106,8,0.2,0.00584,0.2,0.847,0.0,0.0952,-6.505,0.0548,182.766,4
47,Raspberry,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,196026,40,0.492,0.0292,0.492,0.779,0.0,0.129,-5.022,0.0498,104.966,4
48,Save the Party for Me,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,208413,8,0.502,0.768,0.502,0.301,0.000684,0.114,-8.293,0.0298,139.81,3
49,Girl - Bonus Track,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,257845,10,0.402,0.48,0.402,0.64,0.143,0.0741,-7.926,0.0327,71.982,4
50,Flowers - Bonus Track,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,254029,11,0.31,0.000649,0.31,0.923,0.0,0.355,-4.389,0.164,206.011,4
51,Beans on Pizza,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,169521,10,0.604,0.0211,0.604,0.387,0.0,0.149,-7.54,0.0324,139.917,4
52,Ways to Go - Everything Everything Remix,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,286272,6,0.597,0.0151,0.597,0.916,0.000283,0.173,-4.628,0.0366,113.023,4
53,Ways to Go - Thom alt-J Remix,Spreading Rumours (Deluxe Version),Grouplove,2013-09-17,208968,5,0.546,0.24,0.546,0.714,0.00905,0.153,-6.866,0.0753,144.998,4
54,I'm with You,Spreading Rumours (Deluxe),Grouplove,2013-09-17,334160,38,0.499,0.414,0.499,0.809,0.215,0.445,-7.508,0.0748,139.961,4
55,Borderlines and Aliens,Spreading Rumours (Deluxe),Grouplove,2013-09-17,230373,26,0.407,0.000809,0.407,0.93,1.43e-05,0.248,-6.298,0.0977,102.57,4
56,Schoolboy,Spreading Rumours (Deluxe),Grouplove,2013-09-17,232120,25,0.558,0.048,0.558,0.846,1.37e-06,0.27,-6.799,0.0635,111.003,4
57,Ways to Go,Spreading Rumours (Deluxe),Grouplove,2013-09-17,215520,33,0.577,0.00338,0.577,0.827,0.000647,0.26,-7.54,0.0365,101.031,4
58,Shark Attack,Spreading Rumours (Deluxe),Grouplove,2013-09-17,238626,46,0.449,0.000264,0.449,0.635,4.65e-05,0.332,-7.557,0.0397,166.04,4
59,Sit Still,Spreading Rumours (Deluxe),Grouplove,2013-09-17,244813,24,0.648,0.0424,0.648,0.851,1.15e-05,0.24,-6.695,0.0354,92.937,4
60,Hippy Hill,Spreading Rumours (Deluxe),Grouplove,2013-09-17,175986,25,0.524,0.104,0.524,0.556,1.03e-06,0.131,-9.537,0.0392,133.822,4
61,What I Know,Spreading Rumours (Deluxe),Grouplove,2013-09-17,234520,24,0.498,0.00193,0.498,0.777,0.0,0.254,-6.904,0.0424,89.967,4
62,Didn't Have to Go,Spreading Rumours (Deluxe),Grouplove,2013-09-17,224680,23,0.472,0.0387,0.472,0.861,2.09e-05,0.126,-6.61,0.0648,79.941,4
63,Bitin' the Bullet,Spreading Rumours (Deluxe),Grouplove,2013-09-17,248706,23,0.566,0.0335,0.566,0.742,0.00581,0.362,-6.255,0.0333,81.996,4
64,News to Me,Spreading Rumours (Deluxe),Grouplove,2013-09-17,226106,22,0.2,0.00584,0.2,0.847,0.0,0.0952,-6.505,0.0548,182.766,4
65,Raspberry,Spreading Rumours (Deluxe),Grouplove,2013-09-17,196026,27,0.492,0.0292,0.492,0.779,0.0,0.129,-5.022,0.0498,104.966,4
66,Save the Party for Me,Spreading Rumours (Deluxe),Grouplove,2013-09-17,208413,21,0.502,0.768,0.502,0.301,0.000684,0.114,-8.293,0.0298,139.81,3
67,Girl - Bonus Track,Spreading Rumours (Deluxe),Grouplove,2013-09-17,257845,28,0.402,0.48,0.402,0.64,0.143,0.0741,-7.926,0.0327,71.982,4
68,Flowers - Bonus Track,Spreading Rumours (Deluxe),Grouplove,2013-09-17,254029,29,0.31,0.000649,0.31,0.923,0.0,0.355,-4.389,0.164,206.011,4
69,Beans on Pizza,Spreading Rumours (Deluxe),Grouplove,2013-09-17,169521,28,0.604,0.0211,0.604,0.387,0.0,0.149,-7.54,0.0324,139.917,4
70,Itchin' on a Photograph,Never Trust a Happy Song,Grouplove,2011-09-13,259506,16,0.501,0.137,0.501,0.877,0.0,0.309,-6.369,0.0484,96.993,4
71,Tongue Tied,Never Trust a Happy Song,Grouplove,2011-09-13,218013,48,0.56,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4
72,Lovely Cup,Never Trust a Happy Song,Grouplove,2011-09-13,257773,8,0.536,0.00316,0.536,0.853,0.0,0.0951,-5.131,0.0419,101.0,4
73,Colours,Never Trust a Happy Song,Grouplove,2011-09-13,257786,22,0.529,0.0211,0.529,0.83,0.0,0.0983,-5.428,0.0397,93.933,4
74,Slow,Never Trust a Happy Song,Grouplove,2011-09-13,218426,18,0.294,0.0377,0.294,0.797,0.0296,0.713,-7.32,0.0585,139.561,4
75,Naked Kids,Never Trust a Happy Song,Grouplove,2011-09-13,210426,9,0.588,0.122,0.588,0.598,0.0,0.117,-8.061,0.0361,105.024,4
76,Spun,Never Trust a Happy Song,Grouplove,2011-09-13,205613,5,0.424,0.00262,0.424,0.851,2.21e-05,0.232,-6.143,0.0385,155.018,4
77,Betty's a Bombshell,Never Trust a Happy Song,Grouplove,2011-09-13,214546,4,0.434,0.0144,0.434,0.577,0.0,0.0886,-6.321,0.0311,145.047,4
78,Chloe,Never Trust a Happy Song,Grouplove,2011-09-13,198386,5,0.388,0.00125,0.388,0.852,3.56e-06,0.32,-6.19,0.103,187.127,4
79,Love Will Save Your Soul,Never Trust a Happy Song,Grouplove,2011-09-13,227506,5,0.396,0.0206,0.396,0.79,0.00042,0.107,-6.304,0.0343,116.674,4
