,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,Alkaline,FOTO,Kota the Friend,2019-05-15,190252,29,0.767,0.469,0.767,0.527,0.0,0.162,-8.153,0.235,154.002,4
39,Sedona,FOTO,Kota the Friend,2019-05-15,205482,30,0.799,0.708,0.799,0.563,0.0,0.148,-7.266,0.52,160.149,4
40,Chicago Diner,FOTO,Kota the Friend,2019-05-15,175037,30,0.84,0.643,0.84,0.575,9.13e-05,0.107,-7.946,0.0535,133.058,4
41,Bagels,FOTO,Kota the Friend,2019-05-15,252285,32,0.929,0.745,0.929,0.458,0.0,0.0992,-5.57,0.402,115.058,4
42,Pop's Interlude,FOTO,Kota the Friend,2019-05-15,82000,23,0.627,0.793,0.627,0.547,0.0,0.296,-13.566,0.886,68.289,4
43,Solar Return,FOTO,Kota the Friend,2019-05-15,236017,28,0.696,0.775,0.696,0.721,0.0,0.112,-6.335,0.308,90.1,4
44,Melvin's Interlude,FOTO,Kota the Friend,2019-05-15,72000,23,0.495,0.838,0.495,0.417,0.0,0.0841,-13.638,0.386,74.663,4
45,Mommy,FOTO,Kota the Friend,2019-05-15,236522,27,0.449,0.829,0.449,0.693,0.0,0.0996,-6.735,0.308,84.603,4
46,Uncle Cal's Interlude,FOTO,Kota the Friend,2019-05-15,30700,22,0.609,0.848,0.609,0.659,0.0,0.388,-4.684,0.457,134.801,4
47,Backyard,FOTO,Kota the Friend,2019-05-15,206000,28,0.892,0.272,0.892,0.597,0.0,0.0815,-7.851,0.178,150.036,4
48,Koala,FOTO,Kota the Friend,2019-05-15,124000,27,0.896,0.323,0.896,0.609,0.0,0.0662,-7.168,0.412,140.982,4
49,Grandpa's Interlude,FOTO,Kota the Friend,2019-05-15,115200,22,0.468,0.894,0.468,0.488,0.0,0.313,-13.528,0.541,172.012,3
50,For Colored Boys,FOTO,Kota the Friend,2019-05-15,223116,29,0.469,0.864,0.469,0.647,0.0,0.325,-6.122,0.379,77.131,4
51,Good to Be Home,FOTO,Kota the Friend,2019-05-15,260294,24,0.615,0.527,0.615,0.765,0.0,0.108,-3.714,0.401,80.212,4
52,Foto,FOTO,Kota the Friend,2019-05-15,269629,27,0.736,0.704,0.736,0.734,0.0,0.0634,-7.074,0.265,79.99,4
53,Smile,Anything.,Kota the Friend,2018-02-15,160179,50,0.828,0.764,0.828,0.394,0.0,0.109,-9.837,0.1,107.927,4
54,Nola (feat. Khary & Hello Oshay),Anything.,Kota the Friend,2018-02-15,317369,49,0.827,0.355,0.827,0.6,0.0,0.0943,-8.352,0.238,118.015,4
55,Sydney,Anything.,Kota the Friend,2018-02-15,219817,44,0.789,0.585,0.789,0.583,0.0,0.113,-8.206,0.455,109.733,4
56,Blue (feat. Chelsea Reject),Anything.,Kota the Friend,2018-02-15,204463,35,0.672,0.695,0.672,0.719,0.0,0.123,-7.308,0.539,77.481,4
57,Myrtle,Anything.,Kota the Friend,2018-02-15,193642,44,0.678,0.504,0.678,0.475,0.0,0.184,-8.589,0.304,75.009,4
58,Black Sheep (feat. Kamau),Anything.,Kota the Friend,2018-02-15,193607,32,0.588,0.811,0.588,0.555,0.0,0.445,-10.441,0.725,75.125,4
59,Good,Anything.,Kota the Friend,2018-02-15,169890,33,0.84,0.102,0.84,0.492,0.0,0.119,-9.876,0.398,143.976,4
60,Camo (feat. Angel Haze),Anything.,Kota the Friend,2018-02-15,307705,43,0.734,0.311,0.734,0.688,0.0,0.216,-7.141,0.316,132.064,4
61,Daylight,Anything.,Kota the Friend,2018-02-15,177236,51,0.553,0.642,0.553,0.491,0.0,0.0733,-7.467,0.388,79.0,4
62,"January (feat. Childish Major, Sylvan LaCue & Chris Scholar)",Anything.,Kota the Friend,2018-02-15,268853,37,0.589,0.655,0.589,0.622,0.0,0.167,-7.142,0.279,71.969,4
63,Dragon,Dragon,Kota the Friend,2020-10-16,236460,50,0.577,0.851,0.577,0.426,0.0,0.103,-10.495,0.591,148.082,1
64,MAYA,MAYA,PRICE,2020-10-09,181578,51,0.577,0.0716,0.577,0.687,0.0,0.546,-7.393,0.127,76.477,4
65,throwback thursday - drums up edit,throwback thursday (drums up edit),Johan Lenox,2020-10-08,189517,47,0.63,0.196,0.63,0.814,0.000109,0.265,-6.551,0.317,173.7,4
66,Manifesto (with Kota the Friend) - Remix,Manifesto (with Kota the Friend) [Remix],Melo Makes Music,2020-08-21,162000,46,0.894,0.418,0.894,0.43,0.0,0.0648,-6.128,0.228,120.063,4
67,throwback thursday,throwback thursday,Johan Lenox,2020-07-16,188400,46,0.648,0.476,0.648,0.721,7.39e-06,0.36,-6.112,0.39,173.731,4
68,California,California,Kota the Friend,2020-02-21,191142,47,0.892,0.23,0.892,0.693,0.0,0.489,-6.059,0.338,140.012,4
69,California - Radio Edit,California (Radio Edit),Kota the Friend,2020-02-21,191142,4,0.892,0.264,0.892,0.696,0.0,0.53,-6.169,0.346,140.032,4
