,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,hot tub TIME Machine,hot tub TIME Machine,tobi lou,2020-01-31,198193,42,0.737,0.305,0.737,0.562,8.23e-05,0.108,-10.501,0.0727,154.979,4
39,Uncle Iroh,Uncle Iroh,tobi lou,2019-12-20,147692,54,0.771,0.219,0.771,0.621,0.0,0.169,-11.318,0.279,156.026,4
40,My Party,My Party,tobi lou,2019-07-12,184379,39,0.799,0.268,0.799,0.445,0.0,0.116,-8.387,0.145,163.011,4
41,Waterboy,Waterboy,tobi lou,2019-06-12,192000,38,0.782,0.0872,0.782,0.672,0.0,0.138,-6.968,0.0453,130.008,4
42,LIKE MY MOM,LIKE MY MOM,tobi lou,2019-05-12,123680,35,0.754,0.585,0.754,0.559,1.04e-06,0.121,-6.389,0.0647,162.937,4
43,Orange,Orange,tobi lou,2018-10-12,176756,39,0.749,0.873,0.749,0.382,0.0,0.0783,-10.503,0.327,74.039,4
44,"The Name of My First Album is ""Cult Classic""",tobi lou and the Loop - EP,tobi lou,2018-04-27,36923,29,0.571,0.398,0.571,0.539,0.676,0.144,-11.448,0.0869,175.465,3
45,Buff Baby,tobi lou and the Loop - EP,tobi lou,2018-04-27,215384,69,0.734,0.243,0.734,0.765,0.0,0.101,-6.047,0.0571,156.04,4
46,Darlin',tobi lou and the Loop - EP,tobi lou,2018-04-27,205090,37,0.858,0.488,0.858,0.419,0.0,0.0969,-10.334,0.249,110.029,4
47,The Blue,tobi lou and the Loop - EP,tobi lou,2018-04-27,113760,43,0.586,0.436,0.586,0.308,0.0,0.0988,-10.57,0.458,174.509,4
48,The Fun,tobi lou and the Loop - EP,tobi lou,2018-04-27,145998,36,0.58,0.42,0.58,0.447,8.81e-05,0.128,-11.042,0.389,127.851,5
49,Darlin',Darlin',tobi lou,2018-04-23,205090,66,0.866,0.571,0.866,0.388,0.0,0.1,-11.009,0.32,109.976,4
50,Troop (feat. Smino),Troop (feat. Smino),tobi lou,2018-03-05,266181,51,0.881,0.507,0.881,0.357,0.0,0.114,-9.657,0.0765,109.973,4
51,Solange (feat. Facer),tobi lou and the Moon,tobi lou,2018-02-09,263636,39,0.838,0.36,0.838,0.564,0.0,0.108,-6.423,0.204,131.995,4
52,Lounar,tobi lou and the Moon,tobi lou,2018-02-09,238400,43,0.799,0.468,0.799,0.752,0.0,0.146,-6.579,0.0938,149.985,4
53,Sailor,tobi lou and the Moon,tobi lou,2018-02-09,184917,37,0.859,0.618,0.859,0.625,0.0,0.111,-8.927,0.0593,122.011,4
54,Your Kind of Love,Your Kind of Love,tobi lou,2017-11-22,210247,35,0.869,0.145,0.869,0.503,0.0,0.123,-7.993,0.127,121.032,4
55,Preoccupied,Preoccupied,tobi lou,2017-11-14,153600,32,0.809,0.134,0.809,0.48,3.19e-05,0.123,-10.897,0.0443,124.998,4
56,Name (feat. Tobi Lou),Name (feat. Tobi Lou),Jevon Doe,2017-09-22,220866,35,0.801,0.0304,0.801,0.527,0.0,0.12,-7.377,0.0493,104.978,4
57,A.R.O.K.,A.R.O.K.,tobi lou,2017-06-21,185000,33,0.723,0.097,0.723,0.789,0.0,0.093,-5.296,0.0764,130.016,4
58,Game Ova,Game Ova,tobi lou,2017-06-16,240000,25,0.45,0.205,0.45,0.517,1.06e-05,0.111,-6.59,0.135,87.958,4
59,Game Ova (Krs. Remix),Game Ova (Krs. Remix),tobi lou,2017-02-16,217959,34,0.848,0.0035,0.848,0.657,0.00239,0.108,-3.731,0.11,97.985,4
60,Hopefully,Hopefully,tobi lou,2016-10-20,243692,36,0.817,0.642,0.817,0.406,3.56e-05,0.144,-10.063,0.101,130.002,4
61,New Bish,New Bish,tobi lou,2016-07-18,220000,32,0.828,0.0421,0.828,0.586,0.0,0.12,-8.487,0.255,156.066,4
62,Txt Me,Txt Me,tobi lou,2016-07-18,247144,37,0.835,0.36,0.835,0.507,0.0,0.104,-8.469,0.125,110.046,4
